v8-version,9,7,106,5,0
v8-platform,linux,linux
shared-library,/home/raf/.deno/bin/deno,0x556367011000,0x55636a902000,0
shared-library,/usr/lib/libc-2.33.so,0x7f056c8e3000,0x7f056ca54000,0
shared-library,/usr/lib/libm-2.33.so,0x7f056caaf000,0x7f056cb58000,0
shared-library,/usr/lib/libpthread-2.33.so,0x7f056cbf3000,0x7f056cc09000,0
shared-library,/usr/lib/librt-2.33.so,0x7f056cc14000,0x7f056cc1b000,0
shared-library,/usr/lib/libgcc_s.so.1,0x7f056cc1f000,0x7f056cc34000,0
shared-library,/usr/lib/libdl-2.33.so,0x7f056cc3a000,0x7f056cc3e000,0
shared-library,/usr/lib/ld-2.33.so,0x7f056cc66000,0x7f056cc8b000,0
shared-library,[vdso],0x7fff397ee000,0x7fff397f0000,0
shared-library-end
profiler,begin,1000
tick,0x7f056c96c692,777,0,0x0,6
new,CodeRange,0xb7b00000000,0
tick,0x55636930fa90,1917,0,0x0,6
new,MemoryChunk,0xb7b08000000,262144
tick,0x556369003800,2799,0,0x0,6
tick,0x556368feefa0,3993,0,0x0,6
new,MemoryChunk,0xb7b08040000,262144
new,MemoryChunk,0xb7b08080000,262144
heap-capacity,507344
heap-available,1518652320
tick,0x7f056c9d289c,5142,0,0x0,6
new,MemoryChunk,0xb7b080c0000,262144
tick,0x556369190f3a,6099,0,0x0,6
tick,0x556368c753b6,7185,0,0x0,6
new,MemoryChunk,0xb7b08100000,262144
new,MemoryChunk,0xb7b08140000,262144
new,MemoryChunk,0xb7b08180000,180224
tick,0x556369191551,8278,0,0x0,6
new,MemoryChunk,0xb7b081c0000,262144
new,MemoryChunk,0xb7b08200000,262144
new,MemoryChunk,0xb7b08240000,159744
tick,0x7f056ca46576,9341,0,0x0,6
new,MemoryChunk,0xb7b08280000,262144
new,MemoryChunk,0xb7b00000000,262144
tick,0x556369190ebe,10371,0,0x0,6
code-creation,Builtin,2,11180,0x55636983ce00,800,DeoptimizationEntry_Eager
code-creation,Builtin,2,11203,0x55636983d140,800,DeoptimizationEntry_Soft
code-creation,Builtin,2,11221,0x55636983d480,800,DeoptimizationEntry_Bailout
code-creation,Builtin,2,11231,0x55636983d7c0,800,DeoptimizationEntry_Lazy
code-creation,Builtin,2,11247,0x55636983db00,88,DynamicCheckMapsTrampoline
code-creation,Builtin,2,11256,0x55636983db80,88,DynamicCheckMapsWithFeedbackVectorTrampoline
code-creation,Builtin,2,11266,0x55636983dc00,1372,RecordWriteEmitRememberedSetSaveFP
code-creation,Builtin,2,11277,0x55636983e180,464,RecordWriteOmitRememberedSetSaveFP
code-creation,Builtin,2,11287,0x55636983e380,652,RecordWriteEmitRememberedSetIgnoreFP
code-creation,Builtin,2,11297,0x55636983e640,220,RecordWriteOmitRememberedSetIgnoreFP
code-creation,Builtin,2,11308,0x55636983e740,364,EphemeronKeyBarrierSaveFP
code-creation,Builtin,2,11325,0x55636983e8c0,128,EphemeronKeyBarrierIgnoreFP
code-creation,Builtin,2,11351,0x55636983e980,64,AdaptorWithBuiltinExitFrame
code-creation,Builtin,2,11361,0x55636983ea00,296,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,2,11372,0x55636983eb40,348,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,2,11383,0x55636983ecc0,388,CallFunction_ReceiverIsAny
code-creation,Builtin,2,11392,0x55636983ee80,120,CallBoundFunction
code-creation,Builtin,2,11402,0x55636983ef00,168,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,2,11412,0x55636983efc0,168,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,2,11434,0x55636983f080,168,Call_ReceiverIsAny
code-creation,Builtin,2,11450,0x55636983f140,1056,Call_ReceiverIsNullOrUndefined_Baseline_Compact
code-creation,Builtin,2,11464,0x55636983f580,1048,Call_ReceiverIsNullOrUndefined_Baseline
code-creation,Builtin,2,11479,0x55636983f9c0,1136,Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
code-creation,Builtin,2,11493,0x55636983fe40,1128,Call_ReceiverIsNotNullOrUndefined_Baseline
code-creation,Builtin,2,11506,0x5563698402c0,1136,Call_ReceiverIsAny_Baseline_Compact
code-creation,Builtin,2,11518,0x556369840740,1128,Call_ReceiverIsAny_Baseline
code-creation,Builtin,2,11530,0x556369840bc0,1004,Call_ReceiverIsNullOrUndefined_WithFeedback
code-creation,Builtin,2,11543,0x556369840fc0,1004,Call_ReceiverIsNotNullOrUndefined_WithFeedback
